,LDA_Component_1,LDA_Component_2,LDA_Component_3,LDA_Component_4,LDA_Component_5,LDA_Component_6,LDA_Component_7
cat__artist_name_Alberto koiti - Voz e violao (solo),-0.03981679318541315,-0.11661613625911182,0.04714870500926724,0.21435205546563904,0.0007360671358256237,0.08764544448072253,-0.05339337814138962
cat__artist_name_Alberto santos e a banda invisivel,0.30740939163349285,0.015282213183152534,-0.030108327549126526,-0.06079629037425997,0.012927238844359786,-0.035597957363872224,0.04969558939600313
cat__artist_name_Ale Hypolito,0.05290582519281925,-0.035371141976832526,-0.06988438593769526,0.050207162454682944,-0.06764033596333782,0.12681144485947451,-0.02257329333290939
cat__artist_name_Alecrim de Tabuleiro,0.025822812234204233,0.032560963246358154,-0.0033935240127347392,0.09449585578599817,-0.21986278497242392,-0.09014981234276606,0.09087892029951555
cat__artist_name_AlehConvida dueto,-0.02348319388549079,-0.049803861642718696,-0.0701222112795202,-0.011758969886919005,0.11023126560554435,0.1712615085142832,0.030676325834084542
cat__artist_name_Alessandra Munhoz,-0.05807323379966712,-0.07227331372139874,0.1569027967068331,-0.24058553565526586,-0.10941996759055439,0.052152765268090165,0.060475649985758384
cat__artist_name_Alessandra Nagy e Banda,0.032483660409939115,0.0024202226842216664,-0.18136898816898792,-0.04956821825414855,0.001407095216190108,0.15376556978175393,-0.1081265090004348
cat__artist_name_Alessandro Mendes (Flashback e Pop Rock),-0.07013879786112438,-0.07742509421014031,0.020019561903315754,-0.027648462145073452,-0.12011984607279201,-0.4088878722499425,-0.028222441777532338
cat__artist_name_Alex Freitas Acoustic-solo voz e violão,0.04255620201605618,-0.040909458996829344,0.07225069622223444,0.14737636088927156,0.04662133550557293,0.019957127772066263,-0.02765411831838426
cat__artist_name_Alex Góes canta Elton John,-0.013833890836807871,-0.05858685726253333,-0.13306529118375676,-0.24936552178953464,0.12797565666454752,0.0056420451019298535,-0.04286787782154326
cat__artist_name_Alex Joker,0.008098844710470107,0.026329597355789575,-0.07906481908819497,-0.0019171093867400017,-0.05605420767372953,0.07188101591815152,-0.1563413928373621
cat__artist_name_Alex Marttins,-0.013324417824576988,-0.05767281216009551,-0.079854074914952,-0.030180599635810768,0.13343110485628398,0.11039198735533083,0.010851163458537292
cat__artist_name_Alex Moreno SP,0.0024084363796629273,-0.03922217676993766,0.02623998585992591,0.10271001077841783,-0.09015766280629663,0.045760072591987486,-0.046805065075957296
cat__artist_name_Alex Neves,-0.04804206434607038,-0.059421421421284815,-0.026747567344721924,-0.0550190376259377,0.0462581195144673,-0.02796709653218475,-0.048253582589405805
cat__artist_name_Alex Raphanelli,0.29101426638812666,-0.0027370763314597396,0.019701395982708148,0.060718770020956166,0.050627476799679036,0.027200327079626555,0.032888971743711415
cat__artist_name_Alex e Mancini Oficial,-0.10284357102518878,-0.06786347630983643,-0.10654908171251426,-0.10847835653385277,0.3194928243432231,0.13461849886706193,-0.005847105823161995
cat__artist_name_Alexandre Cecato,-0.06747903873163723,0.002599539009051071,0.06691795493233975,0.015530513051872414,-0.052574006648311855,-0.022831744945969377,-0.10071603904740854
cat__artist_name_Alexandre Jesus,0.017929849241877786,0.010427363707852228,0.012392409827368,0.07634306586899017,-0.16480431416350672,0.07687627453188943,-0.040475679708105124
